id = 3004
editor = KK


### Experiment

collaboration = EicC
process = ep2epgamma
exptype = collider
year = 2068
reference = pseudo-data by Xu Cao (NN20 model)


### Scattering Process 
# hard ep2epgamma

frame = Trento

in1particle = e
in1energy = 3.5
in1energyunit = GeV
in1charge = -1

in2particle = p
in2energy = 20
in2energyunit = GeV
in2polarizationvector = T
in2polarization = +1

out1particle = e-
out2particle = p
out3particle = gamma


### Observable
# A^{sin,cos(varphi)}_{UT,I}   -- values should be similar to A_UT

y1name = AUTI
y1namelong = Charge Difference Transverse Target Spin Asymmetry
y1unit = 1
y1value = column4
y1errorstatistic = column5

### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = t
x2unit = GeV^2
x2value = column2

x3name = Q2
x3unit = GeV^2
x3value = column3


# Which harmonic of varphi -> -1 means sin(varphi)
x4name = varFTn
x4unit = 1
x4value = -1

# Which harmonic of phi -> 1 means cos(phi)
x5name = FTn
x5unit = 1
x5value = 1


### Data
# x_B       t       Q^2     asym     stat. 
###########################################
0.0047   -0.0050   1.1610   0.0001     0.0011
0.0047   -0.0187   1.1613   0.0004     0.0016
0.0047   -0.0425   1.1615   0.0008     0.0028
0.0048   -0.0738   1.1636   0.0015     0.0037
0.0050   -0.1427   1.1341   0.0038     0.0053
0.0063   -0.0050   1.3687   0.0002     0.0013
0.0063   -0.0186   1.3654   0.0007     0.0017
0.0063   -0.0426   1.3629   0.0016     0.0028
0.0063   -0.0753   1.3600   0.0028     0.0033
0.0064   -0.1321   1.3366   0.0053     0.0042
0.0066   -0.2526   1.2723   0.0120     0.0051
0.0084   -0.0056   1.3664   0.0005     0.0032
0.0086   -0.0267   1.3358   0.0027     0.0024
0.0086   -0.1025   1.3285   0.0101     0.0034
0.0087   -0.3069   1.3176   0.0279     0.0040
0.0116   -0.0292   1.3310   0.0063     0.0041
0.0118   -0.1405   1.3082   0.0298     0.0035
0.0119   -0.4717   1.2982   0.0792     0.0061
0.0159   -0.0800   1.3099   0.0343     0.0052
0.0161   -0.3654   1.2845   0.1161     0.0061
0.0226   -0.1123   1.3012   0.0922     0.0131
0.0253   -0.3855   1.2700   0.1689     0.0068
0.0565   -0.4646   1.2453   -0.1236    0.0112
0.0070   -0.0050   1.7572   0.0001     0.0021
0.0070   -0.0262   1.7570   0.0006     0.0027
0.0070   -0.1014   1.7502   0.0021     0.0055
0.0088   -0.0050   2.0880   0.0002     0.0014
0.0088   -0.0187   2.0801   0.0006     0.0018
0.0088   -0.0426   2.0787   0.0014     0.0030
0.0088   -0.0996   2.0751   0.0031     0.0029
0.0090   -0.2616   1.9676   0.0100     0.0066
0.0113   -0.0057   2.3061   0.0004     0.0038
0.0116   -0.0267   2.2204   0.0020     0.0023
0.0116   -0.1019   2.2084   0.0072     0.0035
0.0118   -0.3233   2.1718   0.0219     0.0056
0.0156   -0.0321   2.2046   0.0054     0.0052
0.0159   -0.1034   2.1540   0.0180     0.0051
0.0160   -0.3642   2.1328   0.0548     0.0057
0.0212   -0.0936   2.1648   0.0317     0.0070
0.0218   -0.3713   2.1111   0.1079     0.0067
0.0315   -0.1962   2.1029   0.1351     0.0150
0.0375   -0.5338   2.0766   0.1816     0.0095
0.1096   -0.6302   1.9851   -0.0022    0.0357
0.0121   -0.0052   3.0088   0.0002     0.0021
0.0122   -0.0370   3.0075   0.0012     0.0020
0.0123   -0.1837   2.9960   0.0056     0.0052
0.0158   -0.0271   3.5919   0.0014     0.0021
0.0159   -0.1017   3.5651   0.0052     0.0032
0.0161   -0.3226   3.4814   0.0163     0.0060
0.0212   -0.0723   3.6088   0.0092     0.0040
0.0216   -0.3675   3.5244   0.0428     0.0073
0.0292   -0.1114   3.6239   0.0305     0.0119
0.0324   -0.3923   3.4680   0.1169     0.0072
0.0656   -0.5903   3.3678   0.2200     0.0387
0.0211   -0.0392   5.1476   0.0017     0.0019
0.0214   -0.2222   5.1256   0.0093     0.0041
0.0284   -0.0980   6.0759   0.0077     0.0032
0.0293   -0.5096   5.8103   0.0403     0.0113
0.0404   -0.2586   5.8604   0.0546     0.0086
0.0441   -0.7314   5.7020   0.1544     0.0213
0.0310   -0.0616   7.7895   0.0027     0.0036
0.0314   -0.3290   7.7686   0.0132     0.0101
0.0402   -0.0773   9.7867   0.0045     0.0036
0.0408   -0.3584   9.4321   0.0217     0.0064
0.0543   -0.1371   13.0959   0.0091    0.0052
0.0551   -0.5187   12.1487   0.0397    0.0094
0.0702   -0.3241   16.0060   0.0266    0.0099
0.0891   -0.3287   22.0449   0.0207    0.0092
0.1415   -0.5129   35.4980   0.0330    0.0522
